Numero,Sector,Mesa,Silla,CodigoQR,RutaQRPng,RutaPasePng
1,A,A1,1,PARR-A1-S01-3Z5H,./Sector_A/Mesa_A01_Silla_01_QR.png,./Sector_A/Mesa_A01_Silla_01_Pase.png
2,A,A1,2,PARR-A1-S02-VDXR,./Sector_A/Mesa_A01_Silla_02_QR.png,./Sector_A/Mesa_A01_Silla_02_Pase.png
3,A,A1,3,PARR-A1-S03-H0O1,./Sector_A/Mesa_A01_Silla_03_QR.png,./Sector_A/Mesa_A01_Silla_03_Pase.png
4,A,A1,4,PARR-A1-S04-RSYN,./Sector_A/Mesa_A01_Silla_04_QR.png,./Sector_A/Mesa_A01_Silla_04_Pase.png
5,A,A1,5,PARR-A1-S05-Z0HH,./Sector_A/Mesa_A01_Silla_05_QR.png,./Sector_A/Mesa_A01_Silla_05_Pase.png
6,A,A1,6,PARR-A1-S06-S6GY,./Sector_A/Mesa_A01_Silla_06_QR.png,./Sector_A/Mesa_A01_Silla_06_Pase.png
7,A,A1,7,PARR-A1-S07-2UMH,./Sector_A/Mesa_A01_Silla_07_QR.png,./Sector_A/Mesa_A01_Silla_07_Pase.png
8,A,A1,8,PARR-A1-S08-SQP4,./Sector_A/Mesa_A01_Silla_08_QR.png,./Sector_A/Mesa_A01_Silla_08_Pase.png
9,A,A1,9,PARR-A1-S09-JU9Y,./Sector_A/Mesa_A01_Silla_09_QR.png,./Sector_A/Mesa_A01_Silla_09_Pase.png
10,A,A1,10,PARR-A1-S10-BFFB,./Sector_A/Mesa_A01_Silla_10_QR.png,./Sector_A/Mesa_A01_Silla_10_Pase.png
11,A,A2,1,PARR-A2-S01-UFOL,./Sector_A/Mesa_A02_Silla_01_QR.png,./Sector_A/Mesa_A02_Silla_01_Pase.png
12,A,A2,2,PARR-A2-S02-9UT0,./Sector_A/Mesa_A02_Silla_02_QR.png,./Sector_A/Mesa_A02_Silla_02_Pase.png
13,A,A2,3,PARR-A2-S03-VNPB,./Sector_A/Mesa_A02_Silla_03_QR.png,./Sector_A/Mesa_A02_Silla_03_Pase.png
14,A,A2,4,PARR-A2-S04-FLAZ,./Sector_A/Mesa_A02_Silla_04_QR.png,./Sector_A/Mesa_A02_Silla_04_Pase.png
15,A,A2,5,PARR-A2-S05-MQU0,./Sector_A/Mesa_A02_Silla_05_QR.png,./Sector_A/Mesa_A02_Silla_05_Pase.png
16,A,A2,6,PARR-A2-S06-5S4W,./Sector_A/Mesa_A02_Silla_06_QR.png,./Sector_A/Mesa_A02_Silla_06_Pase.png
17,A,A2,7,PARR-A2-S07-BI4G,./Sector_A/Mesa_A02_Silla_07_QR.png,./Sector_A/Mesa_A02_Silla_07_Pase.png
